Room,Item,Type,Material Cost,Labour Cost,Total,Status,Actions
Kitchen,Cabinets,,30000,10000,40000,Pending,Edit | Delete
Kitchen,Water dispenser section,Plan and design,1000,500,1500,Pending,Edit | Delete
Kitchen,Glass display,,4000,1000,5000,Pending,Edit | Delete
Kitchen,Granite counter top,,20000,4000,24000,Pending,Edit | Delete
Kitchen,Stove,,3800,500,4300,Pending,Edit | Delete
Kitchen,Oven,,5550,500,6050,Pending,Edit | Delete
Kitchen,Chimney,,1899,500,2399,Pending,Edit | Delete
Kitchen,Sink,,2000,1000,3000,Pending,Edit | Delete
Kitchen,Kitchen sink tap,,0,500,500,Pending,Edit | Delete
Kitchen,Plumbing work for washing machine and sink etc,,,900,900,Pending,Edit | Delete
Kitchen,Lights,,1500,500,2000,Pending,Edit | Delete
Kitchen,Electrical points and lightings throughout,Plan and design,1000,1000,2000,Pending,Edit | Delete
Kitchen,Tiling for walls,,3000,2000,5000,Pending,Edit | Delete
Kitchen,Floor tiling - included in whole house tiling,,,0,0,Included,Edit | Delete
Kitchen,Blinds,,250,250,500,Pending,Edit | Delete
Kitchen,Placeholder for washing machine and dishwasher,Plan and design,,,,Planning,Edit | Delete
Kitchen,Fridge Place,Plan and design,,,,Planning,Edit | Delete
Kitchen,Dustbin Place,Plan and design,,,,Planning,Edit | Delete
Kitchen,Existing tiles breaking,,,800,800,Pending,Edit | Delete
Master Bathroom,Full bathroom tiling,,3000,3600,6600,Pending,Edit | Delete
Master Bathroom,Shower set up and mixer,,2500,2000,4500,Pending,Edit | Delete
Master Bathroom,Shower Drain,,500,1500,2000,Pending,Edit | Delete
Master Bathroom,Shower Doors - full close or open,,1500,500,2000,Pending,Edit | Delete
Master Bathroom,Basin and mixer,,1800,1200,3000,Pending,Edit | Delete
Master Bathroom,Toilet removal and reinstallation,,,2000,2000,Pending,Edit | Delete
Master Bathroom,Cabinet assembly and installation,,2000,1500,3500,Pending,Edit | Delete
Master Bathroom,Mirrors,,300,200,500,Pending,Edit | Delete
Master Bathroom,Lights,,500,800,1300,Pending,Edit | Delete
Master Bathroom,Electrical plugs,,200,400,600,Pending,Edit | Delete
Master Bathroom,Bidet,,1500,500,2000,Pending,Edit | Delete
Master Bathroom,Washbasin tap - included in basin,,,0,0,Included,Edit | Delete
Master Bathroom,Shampoo and soap organizers in shower,,200,100,300,Pending,Edit | Delete
Master Bathroom,Heater,,1200,800,2000,Pending,Edit | Delete
Master Bathroom,Towel rack,,400,800,1200,Pending,Edit | Delete
Master Bathroom,Consider water storage/tub along with shower,,,,0,Planning,Edit | Delete
Master Bathroom,Replace bathroom door,,1200,500,1700,Pending,Edit | Delete
